2,2024-03-21 14:10:55.883500
2,2024-03-21 14:10:59.555870
2,2024-03-21 14:11:11.499282
2,2024-03-21 14:11:14.106462
2,2024-03-21 14:11:16.868010
3,2024-03-21 14:11:30.229162
1,2024-03-21 14:11:42.227789
user.takaoka,2024-03-21 14:13:18.096320
user.takaoka,2024-03-21 14:13:20.321243
user.nishiyama,2024-03-21 14:30:02.365465
user.takaoka,2024-03-21 14:30:14.590655
user.nishiyama,2024-03-21 14:30:35.174335
user.takaoka,2024-03-21 14:31:05.210962
user.takaoka,2024-03-21 14:31:36.657725
1,2024-03-21 14:31:42.373518
3,2024-03-21 14:32:00.224578
2,2024-03-21 14:32:03.847135
Pliers 1,2024-03-21 14:32:05.588611
user.nishiyama,2024-03-21 14:32:18.278569
2,2024-03-21 14:34:14.699523
user.nishiyama,2024-03-21 14:34:23.445271
2,2024-03-21 14:37:05.667688
3,2024-03-21 14:37:14.359123
1,2024-03-21 14:37:16.646760
user.nishiyama,2024-03-21 14:37:18.553777
user.takaoka,2024-03-21 15:42:38.596002
user.takaoka,2024-03-21 15:46:07.985251
user.takaoka,2024-03-21 15:46:38.568341
user.takaoka,2024-03-21 15:57:15.023826
2,2024-03-21 16:07:00.632483
